hcp_id,hcp_name,specialty,territory_id,prescribing_decile
H001,Dr. Ryan,Primary Care,T01,9
H002,Dr. Osborne,Cardiology,T01,7
H003,Dr. Moreno,Primary Care,T01,1
H004,Dr. Smith,Cardiology,T01,8
H005,Dr. Nguyen,Cardiology,T01,5
H006,Dr. Smith,Endocrinology,T01,9
H007,Dr. Hickman,Primary Care,T01,3
H008,Dr. Koch,Cardiology,T01,5
H009,Dr. Decker,Primary Care,T01,8
H010,Dr. Parker,Endocrinology,T01,7
H011,Dr. Brown,Primary Care,T01,8
H012,Dr. Humphrey,Primary Care,T01,6
H013,Dr. Arroyo,Cardiology,T01,4
H014,Dr. Miller,Cardiology,T01,8
H015,Dr. Tucker,Cardiology,T01,5
H016,Dr. Jones,Cardiology,T01,6
H017,Dr. Hodges,Cardiology,T02,10
H018,Dr. Cannon,Cardiology,T02,3
H019,Dr. Anderson,Primary Care,T02,7
H020,Dr. Alvarez,Cardiology,T02,2
H021,Dr. Pierce,Primary Care,T02,4
H022,Dr. Baker,Primary Care,T02,7
H023,Dr. Brennan,Endocrinology,T02,7
H024,Dr. Henderson,Primary Care,T02,9
H025,Dr. Lewis,Cardiology,T02,7
H026,Dr. Ryan,Cardiology,T02,5
H027,Dr. Blair,Primary Care,T02,4
H028,Dr. Harris,Endocrinology,T02,8
H029,Dr. Collins,Cardiology,T02,6
H030,Dr. Carney,Primary Care,T02,10
H031,Dr. Santos,Cardiology,T02,4
H032,Dr. Kim,Endocrinology,T02,9
H033,Dr. Holmes,Primary Care,T02,9
H034,Dr. Martinez,Endocrinology,T03,6
H035,Dr. Walker,Primary Care,T03,5
H036,Dr. Morgan,Primary Care,T03,8
H037,Dr. Chapman,Primary Care,T03,7
H038,Dr. Hall,Primary Care,T03,9
H039,Dr. Robinson,Cardiology,T03,9
H040,Dr. Jones,Endocrinology,T03,9
H041,Dr. Welch,Primary Care,T03,3
H042,Dr. Perez,Endocrinology,T03,4
H043,Dr. Whitehead,Endocrinology,T03,7
H044,Dr. Heath,Primary Care,T03,6
H045,Dr. Jones,Endocrinology,T03,9
H046,Dr. Young,Cardiology,T03,7
H047,Dr. Caldwell,Primary Care,T03,1
H048,Dr. Lewis,Endocrinology,T03,3
H049,Dr. Anderson,Cardiology,T04,6
H050,Dr. Walls,Primary Care,T04,6
H051,Dr. Duncan,Cardiology,T04,9
H052,Dr. Kennedy,Primary Care,T04,3
H053,Dr. Mueller,Cardiology,T04,5
H054,Dr. Aguirre,Primary Care,T04,6
H055,Dr. Lee,Cardiology,T04,5
H056,Dr. Davis,Primary Care,T04,10
H057,Dr. Jordan,Cardiology,T04,5
H058,Dr. Henderson,Primary Care,T04,7
H059,Dr. Owens,Endocrinology,T04,6
H060,Dr. Daniel,Primary Care,T04,10
H061,Dr. Nunez,Primary Care,T04,9
H062,Dr. Joyce,Cardiology,T04,3
H063,Dr. Garcia,Primary Care,T04,3
H064,Dr. Powell,Cardiology,T05,8
H065,Dr. Morgan,Endocrinology,T05,9
H066,Dr. Hensley,Primary Care,T05,9
H067,Dr. Wright,Primary Care,T05,4
H068,Dr. Lee,Primary Care,T05,2
H069,Dr. West,Primary Care,T05,9
H070,Dr. Henderson,Cardiology,T05,8
H071,Dr. Ramirez,Endocrinology,T05,5
H072,Dr. Wright,Primary Care,T05,4
H073,Dr. Leblanc,Cardiology,T05,3
H074,Dr. Ramos,Endocrinology,T05,9
H075,Dr. Callahan,Primary Care,T05,4
H076,Dr. Pierce,Primary Care,T05,5
H077,Dr. Williams,Primary Care,T05,6
H078,Dr. Kidd,Primary Care,T05,2
H079,Dr. Huff,Primary Care,T05,3
